"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"CB15","CW","84.353mm","41.605mm","84.347mm","42.12mm","84.347mm","42.12mm","T","270","CB"
"CB12","CW","56.388mm","30.099mm","56.88mm","30.099mm","56.88mm","30.099mm","T","180","CB"
"CB11","CW","22.606mm","21.336mm","22.606mm","21.828mm","22.606mm","21.828mm","T","270","CB"
"CB9","CW","8.636mm","21.59mm","8.636mm","22.082mm","8.636mm","22.082mm","T","270","CB"
"CB8","CW","70.485mm","85.496mm","70.485mm","84.979mm","70.485mm","84.979mm","T","90","CB"
"C57","CASE-A_3216","79.248mm","41.504mm","79.227mm","41.501mm","80.537mm","41.501mm","T","360","10uF"
"C56","0603_C","74.828mm","41.758mm","74.822mm","41.755mm","74.052mm","41.755mm","T","360","100nF"
"C54","0805_C","60.071mm","81.407mm","60.072mm","81.407mm","60.962mm","81.407mm","T","180","10uF"
"C53","0402_C","49.378mm","26.924mm","49.359mm","26.924mm","48.934mm","26.924mm","T","360","100nF"
"C45","0603_C","64.11mm","20.193mm","64.118mm","20.193mm","64.888mm","20.193mm","T","180","100nF"
"C44","0603_C","63.373mm","22.733mm","63.373mm","22.733mm","63.373mm","21.963mm","T","90","1nF"
"C43","0603_C","32.258mm","22.301mm","32.258mm","22.299mm","32.258mm","23.069mm","T","270","1uF"
"C42","0603_C","63.856mm","9.652mm","63.864mm","9.652mm","64.634mm","9.652mm","T","180","100nF"
"C41","0603_C","33.02mm","19.431mm","33.028mm","19.431mm","33.798mm","19.431mm","T","180","1uF"
"C40","0603_C","63.119mm","12.192mm","63.119mm","12.192mm","63.119mm","11.422mm","T","90","1nF"
"C39","0603_C","80.01mm","11.176mm","80.01mm","11.184mm","80.01mm","11.954mm","T","270","220pF"
"C38","0603_C","18.161mm","22.174mm","18.161mm","22.172mm","18.161mm","22.942mm","T","270","1uF"
"C37","0805_C","89.281mm","-0.254mm","89.281mm","-0.254mm","88.391mm","-0.254mm","T","360","22uF"
"C35","1206_C","82.448mm","-0.635mm","82.457mm","-0.635mm","80.967mm","-0.635mm","T","360","10uF"
"C34","0603_C","19.05mm","19.304mm","19.058mm","19.304mm","19.828mm","19.304mm","T","180","1uF"
"C33","0603_C","84.201mm","3.81mm","84.201mm","3.81mm","84.201mm","3.04mm","T","90","100nF"
"C32","0603_C","15.621mm","4.191mm","15.621mm","4.191mm","14.851mm","4.191mm","T","360","10nF"
"C31","CT 6*6 - C","3.429mm","7.95mm","3.429mm","7.953mm","3.429mm","10.953mm","T","90","220uF"
"C30","0603_C","9.906mm","4.191mm","9.898mm","4.184mm","9.128mm","4.184mm","T","360","100nF"
"C29","0603_C","60.833mm","84.887mm","60.833mm","84.889mm","60.833mm","84.119mm","T","90","1uF"
"C28","0603_C","20.701mm","2.032mm","20.701mm","2.032mm","21.471mm","2.032mm","T","180","100nF"
"C27","0805_C","20.701mm","4.191mm","20.7mm","4.184mm","19.81mm","4.184mm","T","360","10uF"
"C26","0603_C","60.096mm","87.757mm","60.088mm","87.757mm","59.318mm","87.757mm","T","360","1uF"
"C25","0805_C","38.735mm","7.874mm","38.735mm","7.874mm","39.625mm","7.874mm","T","180","10uF"
"C24","CT 6*6 - C","26.162mm","10.414mm","26.162mm","10.414mm","26.162mm","13.414mm","T","90","220uF"
"C23","0603_C","38.608mm","12.954mm","38.608mm","12.954mm","39.378mm","12.954mm","T","180","100nF"
"C22","0603_C","38.608mm","10.541mm","38.608mm","10.537mm","39.378mm","10.537mm","T","180","100nF"
"U8","SC-70-6(SOT-363)","92.456mm","69.545mm","92.456mm","69.55mm","93.106mm","70.52mm","T","270","SMF05CT1G"
"U7","MT8266WIFI-H","71.476mm","35.611mm","67.169mm","44.597mm","67.169mm","29.697mm","B","360","WIFI"
"SIM1","SIM Card","72.898mm","64.364mm","75.438mm","51.097mm","70.358mm","77.597mm","T","270","SIM Card"
"R73","0402_R","59.055mm","69.342mm","59.055mm","69.342mm","58.63mm","69.342mm","T","360","22次"
"R72","0402_R","88.341mm","71.374mm","88.348mm","71.374mm","87.923mm","71.374mm","T","360","22次"
"R71","0402_R","59.055mm","72.314mm","59.055mm","72.326mm","59.48mm","72.326mm","T","180","22次"
"R70","0402_R","59.055mm","70.841mm","59.055mm","70.834mm","58.63mm","70.834mm","T","360","22次"
"R69","0402_R","88.341mm","69.977mm","88.348mm","69.977mm","87.923mm","69.977mm","T","360","22次"
"R68","0402_R","88.341mm","68.326mm","88.348mm","68.326mm","87.923mm","68.326mm","T","360","22次"
"R67","0402_R","88.341mm","73.025mm","88.348mm","73.025mm","88.773mm","73.025mm","T","180","15K次"
"R66","0402_R","59.055mm","73.812mm","59.055mm","73.819mm","58.63mm","73.819mm","T","360","22次"
"R65","0402_R","59.055mm","75.311mm","59.055mm","75.311mm","59.48mm","75.311mm","T","180","10K次"
"R64","0603_R","90.043mm","50.546mm","90.043mm","50.554mm","90.043mm","49.784mm","T","90","4.7K次"
"R63","0402_R","64.033mm","39.624mm","64.036mm","39.624mm","63.611mm","39.624mm","B","360","0次"
"R62","0402_R","64.033mm","37.592mm","64.036mm","37.592mm","63.611mm","37.592mm","B","360","0次"
"R61","0402_R","64.033mm","35.56mm","64.036mm","35.56mm","63.611mm","35.56mm","B","360","0次"
"R60","0603_R","91.973mm","50.546mm","91.984mm","50.546mm","91.984mm","49.776mm","T","90","4.7K次"
"R59","0402_R","64.033mm","33.528mm","64.036mm","33.528mm","63.611mm","33.528mm","B","360","0次"
"R58","0402_R","64.033mm","31.623mm","64.036mm","31.623mm","63.611mm","31.623mm","B","360","0次"
"R57","0402_R","75.819mm","24.003mm","75.819mm","24.003mm","75.819mm","24.428mm","B","270","0次"
"R56","0603_R","94.361mm","54.102mm","94.361mm","54.102mm","94.361mm","54.872mm","T","270","4.7K次"
"Q11","SOT-23(SOT-23-3)","90.754mm","54.102mm","90.587mm","54.102mm","91.837mm","53.152mm","T","360","SS8050"
"LED8","0603_LED_S1","94.361mm","58.522mm","94.361mm","58.539mm","","","T","270","懦腑 0603"
"D9","SOD-323","90.805mm","58.674mm","90.805mm","58.674mm","91.985mm","58.674mm","T","360","LESD3Z5.0T1G"
"CB14","CW","67.056mm","23.622mm","67.056mm","23.13mm","67.056mm","23.13mm","B","90","CB"
"C52","0402_C","92.837mm","65.583mm","92.837mm","65.569mm","92.837mm","65.144mm","T","90","33pF"
"C51","0402_C","91.44mm","65.583mm","91.44mm","65.569mm","91.44mm","65.144mm","T","90","33pF"
"C50","0402_C","91.821mm","73.482mm","91.821mm","73.487mm","91.821mm","73.912mm","T","270","33pF"
"C49","0402_C","93.091mm","73.482mm","93.091mm","73.487mm","93.091mm","73.912mm","T","270","33pF"
"C48","0402_C","94.107mm","65.583mm","94.107mm","65.569mm","94.107mm","65.144mm","T","90","100nF"
"C47","0603_C","90.932mm","56.769mm","90.932mm","56.769mm","91.702mm","56.769mm","T","180","100nF"
"C46","CASE-A_3216","71.679mm","23.876mm","71.668mm","23.876mm","70.358mm","23.876mm","B","180","10uF"
"Y3","OSC MC-306","42.672mm","39.37mm","42.672mm","39.37mm","41.072mm","42.12mm","T","270","32.768KHz"
"Y2","XTAL-3225-4P","37.541mm","39.167mm","37.553mm","39.15mm","38.403mm","38.1mm","T","90","32.768KHz"
"Y1","XTAL-5032-4P","48.768mm","41.021mm","48.768mm","41.021mm","46.66mm","39.751mm","T","360","8MHz"
"USB1","MOLX-47589-0001","27.178mm","92.71mm","27.171mm","94.234mm","28.471mm","91.429mm","T","180","MicroUSB"
"U1","STM-LQFP100_L","47.346mm","55.27mm","47.355mm","55.277mm","41.355mm","47.752mm","T","90","STM32F407VGT6"
"SD","MOLX-47219-2001-8_V","14.249mm","52.476mm","14.25mm","52.483mm","12.7mm","49.278mm","T","90","MicroSD Card"
"RST1","TSW SMD-4*4*1.5","63.246mm","40.005mm","63.246mm","40.005mm","65.096mm","42.805mm","T","270","KEY"
"R23","0402_R","2.032mm","79.451mm","2.032mm","79.458mm","2.032mm","79.883mm","T","270","10次"
"R22","0402_R","23.876mm","57.201mm","23.876mm","57.201mm","24.301mm","57.201mm","T","180","47K次"
"R21","0402_R","2.032mm","81.915mm","2.032mm","81.915mm","2.032mm","82.34mm","T","270","10次"
"R20","0402_R","23.876mm","55.22mm","23.876mm","55.22mm","24.301mm","55.22mm","T","180","47K次"
"R19","0402_R","23.876mm","53.238mm","23.876mm","53.238mm","24.301mm","53.238mm","T","180","47K次"
"R18","0402_R","23.876mm","51.257mm","23.876mm","51.257mm","24.301mm","51.257mm","T","180","47K次"
"R17","0402_R","23.876mm","49.276mm","23.876mm","49.276mm","24.301mm","49.276mm","T","180","47K次"
"R16","0603_R","86.233mm","82.296mm","86.233mm","82.296mm","85.463mm","82.296mm","T","360","4.7K次"
"R15","0402_R","24.435mm","85.217mm","24.428mm","85.217mm","24.003mm","85.217mm","T","360","10次"
"R14","0402_R","26.975mm","85.217mm","26.968mm","85.217mm","26.543mm","85.217mm","T","360","10次"
"R13","0603_R","77.851mm","82.296mm","77.851mm","82.296mm","77.081mm","82.296mm","T","360","4.7K次"
"R12","0603_R","49.403mm","16.129mm","49.403mm","16.129mm","49.403mm","16.899mm","T","270","4.7K次"
"R11","0603_R","14.834mm","80.645mm","14.851mm","80.645mm","15.621mm","80.645mm","T","180","4.7K次"
"R10","0603_R","14.834mm","82.55mm","14.851mm","82.55mm","15.621mm","82.55mm","T","180","4.7K次"
"R9","0603_R","14.859mm","84.455mm","14.859mm","84.455mm","15.629mm","84.455mm","T","180","4.7K次"
"R8","0402_R","42.672mm","34.417mm","42.672mm","34.417mm","42.247mm","34.417mm","T","360","NC"
"R7","0402_R","36.703mm","42.291mm","36.703mm","42.291mm","36.703mm","41.866mm","T","90","NC"
"R6","0402_R","58.268mm","54.737mm","58.249mm","54.737mm","57.824mm","54.737mm","T","360","10K次"
"R5","0402_R","35.814mm","52.197mm","35.814mm","52.197mm","36.239mm","52.197mm","T","180","10K次"
"R4","0402_R","54.229mm","42.672mm","54.229mm","42.672mm","53.804mm","42.672mm","T","360","10次"
"R3","0402_R","53.34mm","44.45mm","53.34mm","44.45mm","53.34mm","44.025mm","T","90","0次"
"R2","0402_R","48.768mm","37.084mm","48.768mm","37.084mm","49.193mm","37.084mm","T","180","NC"
"R1","0603_R","58.674mm","37.338mm","58.666mm","37.338mm","57.896mm","37.338mm","T","0","10K次"
"P3","HDR-4P UART","-0.254mm","83.693mm","-0.254mm","87.503mm","-0.254mm","87.503mm","T","270","LOG"
"P2","HDR-4P UART","27.813mm","87.63mm","31.623mm","87.63mm","31.623mm","87.63mm","T","180","LOG"
"P1","XH2.54-4P","9.906mm","93.218mm","13.716mm","93.218mm","13.716mm","93.218mm","T","180","JLINK"
"LED3","0603_LED_S1","8.509mm","80.645mm","8.509mm","80.645mm","","","T","180","懦腑 0603"
"LED2","0603_LED_S1","8.509mm","83.947mm","8.509mm","83.947mm","","","T","180","酴腑 0603"
"LED1","0603_LED_S1","8.509mm","87.249mm","8.509mm","87.249mm","","","T","180","蟯腑 0603"
"F2","FU 0603","30.734mm","83.439mm","30.734mm","83.439mm","29.845mm","83.439mm","T","360","5V 1A"
"F1","FU 0603","14.478mm","88.011mm","14.478mm","88.011mm","13.589mm","88.011mm","T","360","5V 1A"
"D4","SOD-323","30.607mm","85.217mm","30.607mm","85.217mm","29.427mm","85.217mm","T","180","LESD3Z5.0T1G"
"D3","SOD-323","14.605mm","89.662mm","14.605mm","89.662mm","15.785mm","89.662mm","T","360","LESD3Z3.3T1G"
"D2","SOD-323","27.559mm","64.567mm","27.559mm","64.553mm","27.559mm","65.733mm","T","90","1N4148"
"D1","SOD-323","36.957mm","44.323mm","36.957mm","44.323mm","35.777mm","44.323mm","T","180","1N4148"
"CB5","CW","43.815mm","44.45mm","43.815mm","43.958mm","43.815mm","43.958mm","T","90","CB"
"CB4","CW","41.529mm","44.45mm","41.529mm","43.958mm","41.529mm","43.958mm","T","90","CB"
"CB3","CW","58.268mm","53.34mm","58.749mm","53.34mm","58.749mm","53.34mm","T","180","CB"
"CB2","CW","35.712mm","53.594mm","35.195mm","53.594mm","35.195mm","53.594mm","T","360","CB"
"CB1","CW","37.44mm","33.147mm","36.957mm","33.147mm","36.957mm","33.147mm","T","360","CB"
"C21","0402_C","23.876mm","59.563mm","23.876mm","59.563mm","24.301mm","59.563mm","T","180","100nF"
"C20","0402_C","44.704mm","33.934mm","44.704mm","33.953mm","44.704mm","34.378mm","T","270","6pF"
"C19","0402_C","40.894mm","33.934mm","40.894mm","33.953mm","40.894mm","34.378mm","T","270","6pF"
"C18","0402_C","38.354mm","42.291mm","38.354mm","42.291mm","38.354mm","41.866mm","T","90","10pF"
"C17","0402_C","50.546mm","44.45mm","50.546mm","44.45mm","50.546mm","44.875mm","T","270","100nF"
"C16","0402_C","40.259mm","66.802mm","40.259mm","66.802mm","40.259mm","66.377mm","T","90","100nF"
"C15","0402_C","36.449mm","49.403mm","36.449mm","49.403mm","36.874mm","49.403mm","T","180","100nF"
"C14","0402_C","46.228mm","44.577mm","46.228mm","44.577mm","46.228mm","45.002mm","T","270","100nF"
"C13","0402_C","57.023mm","63.856mm","57.023mm","63.837mm","57.023mm","63.412mm","T","90","100nF"
"C12","0402_C","58.268mm","50.165mm","58.249mm","50.165mm","57.824mm","50.165mm","T","360","100nF"
"C11","0603_C","37.592mm","36.195mm","37.6mm","36.195mm","38.37mm","36.195mm","T","180","10uF"
"C10","0402_C","37.643mm","34.544mm","37.636mm","34.544mm","38.061mm","34.544mm","T","180","1nF"
"C9","0402_C","54.737mm","44.45mm","54.737mm","44.45mm","54.737mm","44.875mm","T","270","100nF"
"C8","0805_C","56.769mm","43.688mm","56.769mm","43.687mm","56.769mm","44.577mm","T","270","10uF"
"C7","0402_C","36.982mm","45.847mm","37.001mm","45.847mm","37.426mm","45.847mm","T","180","100nF"
"C6","0402_C","51.943mm","44.45mm","51.943mm","44.45mm","51.943mm","44.025mm","T","90","100nF"
"C5","0402_C","51.003mm","37.084mm","51.01mm","37.084mm","50.585mm","37.084mm","T","360","22pF"
"C4","0603_C","41.91mm","66.802mm","41.91mm","66.802mm","41.91mm","67.572mm","T","270","2.2uF"
"C3","0603_C","60.071mm","60.833mm","60.071mm","60.833mm","60.841mm","60.833mm","T","180","2.2uF"
"C2","0402_C","46.584mm","37.084mm","46.565mm","37.084mm","46.99mm","37.084mm","T","180","22pF"
"C1","0603_C","63.246mm","44.958mm","63.254mm","44.958mm","64.024mm","44.958mm","T","180","100nF"
"BAT","CR1220_B","18.034mm","70.612mm","17.443mm","70.612mm","27.095mm","70.612mm","T","360","BAT CR1220"
"J1","PCIEmin-i","64.008mm","62.281mm","85.852mm","49.803mm","90.202mm","74.103mm","B","90","EC25-AU"
